id,title,price,image,created_at
ad7b7218-ead5-4e72-ab21-7c1aded38bfe,Gilaa - Son Plumping Lip Serum 04 Hera,298000,['https://cdn-images.kiotviet.vn/vbeautyls/7b19d26fbe01421fbdc0fac85d322a44.jpeg'],2022-11-02 14:39:04.355818
2ef2b8be-140e-11ed-9227-039b05c81a00,Lemonade - Son kem lì lâu trôi Supernatural Matte Lipcream 02 Forrever Young,249000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979656891.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979658423.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979659676.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662979661950.png']",2022-08-04 22:57:47.825544
2eee4be4-140e-11ed-9227-039b05c81a00,Gilaa - Son màu tối ưu dưỡng chất giúp môi mềm mịn và căng mọng Plumping Lip Serum 05 Artemis,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968795818.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968797365.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968800228.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968803605.png']",2022-08-04 22:57:47.825544
b87fadfc-b117-4bba-bb9f-80207f42ba7d,Gilaa - Son Plumping Lip Serum 05 Artemis,298000,['https://cdn-images.kiotviet.vn/vbeautyls/7eeca9f7b7c94e2a904dbf42a784b453.jpeg'],2022-11-02 14:39:03.090243
2eee24d4-140e-11ed-9227-039b05c81a00,"DHC - Son môi giúp dưỡng ẩm cho môi, giúp đôi môi mềm mại Lip Cream",199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988544156.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988545387.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988547445.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988549694.png']",2022-08-04 22:57:47.825544
b33ac8a0-9187-11ed-97d7-9174cdc73ee3,Test 01,1000000,['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1673424749959.png'],2023-01-11 15:12:33.199114
c3ec2900-9187-11ed-97d7-9174cdc73ee3,Test 02,200000,['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1673424776727.png'],2023-01-11 15:13:01.206031
2eee4be3-140e-11ed-9227-039b05c81a00,Gilaa - Son màu tối ưu dưỡng chất giúp môi mềm mịn và căng mọng Plumping Lip Serum 06 Kore,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662969234502.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662969236994.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970235671.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662970238481.png']",2022-08-04 22:57:47.825544
2eefd286-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.1 GLAD DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662982020089.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662982024258.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662982028283.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662982029825.png']",2022-08-04 22:57:47.825544
2eefd281-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.3 SUNSHINE DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988112231.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988115970.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988118897.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662988120514.png']",2022-08-04 22:57:47.825544
2f3c7b0f-bc63-451e-a4e3-837e5e7c635b,Horus - Son Soft Matte Lipcream No.5 ROSE JAMS,132000,['https://cdn-images.kiotviet.vn/vbeautyls/090be1b953054691b4629724b1c17eae.jpeg'],2022-11-02 14:39:21.521606
2eef8461-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.8 TAKE A SIP,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968974632.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968976674.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968980978.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662971211557.png']",2022-08-04 22:57:47.825544
2eefab70-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.7 RED-LETTER DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987917879.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987921617.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987925258.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987926712.png']",2022-08-04 22:57:47.825544
2eee72f0-140e-11ed-9227-039b05c81a00,Gilaa - Son màu tối ưu dưỡng chất giúp môi mềm mịn và căng mọng Plumping Lip serum 01 Athena,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968353770.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968355304.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662968358696.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662971146933.png']",2022-08-04 22:57:47.825544
2eee4be6-140e-11ed-9227-039b05c81a00,Gilaa - Son Plumping Lip Serum 03 Hestia,298000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662986771800.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662986773727.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662986776698.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662986779708.png']",2022-08-04 22:57:47.825544
357a489c-7d56-4928-9bc9-7cd94c14ecf8,Horus - Son Soft Matte Lipcream No.1 PEACH CHOCOLATE,132000,['https://cdn-download.kiotviet.vn/kiotvietimages/vbeautyls/503bc817db11494383ddbfd322b77936.jpeg'],2022-11-02 14:39:19.469695
e639305f-37fe-4dbe-962e-510bac60d19c,Horus - Son Soft Matte Lipcream No.2 HOT WINE,132000,['https://cdn-images.kiotviet.vn/vbeautyls/7a045753b59b45e6929573a3b041393d.jpeg'],2022-11-02 14:39:18.412167
2eefab77-140e-11ed-9227-039b05c81a00,Gilaa - Son Long Wear Lip Cream No.5 GLOOMY DAY,199000,"['https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987264478.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987268567.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987272417.png', 'https://s3-hitek.sgp1.cdn.digitaloceanspaces.com/abeauty/resized-image-1662987274195.png']",2022-08-04 22:57:47.825544
